id;ru;en;img
RO;Круг;Round;img/RO.webp
PR;Принцесса;Princess;img/PR.webp
OV;Овал;Oval;img/OV.webp
CU;Кушон;Cushion;img/CU.webp
PS;Груша;Pear;img/PS.webp
EM;Изумруд;Emerald;img/EM.webp
RA;Радиант;Radiant;img/RA.webp
HB;Сердце;Heart;img/HB.webp
MQ;Маркиз;Marquise;img/MQ.webp
AS;Ашер;Asscher;img/AS.webp
